Algoritmo,File name,Timestamp,Tempo de Processamento (s),Pacotes,Depenências,Peso da mochila,Benefício mochila
VND,instância_original.knapsack.txt,2025-10-02 15:59:00,0.19280,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:09:28,0.00061,25,77,12105,9515
VND,instância_original.knapsack.txt,2025-10-02 16:09:28,0.19655,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:09:43,0.00058,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:09:54,0.00060,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:10:06,0.00058,25,77,12105,9515
VND,instância_original.knapsack.txt,2025-10-02 16:10:06,0.18770,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:10:18,0.00071,25,77,12105,9515
VND,instância_original.knapsack.txt,2025-10-02 16:10:18,0.18773,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:10:28,0.00058,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:11:32,0.00059,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:11:45,0.00059,25,77,12105,9515
VND,instância_original.knapsack.txt,2025-10-02 16:11:45,0.19135,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:12:03,0.00072,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:12:18,0.00066,25,77,12105,9515
GREEDY -> Package: Benefit,instância_original.knapsack.txt,2025-10-02 16:19:31,0.00061,25,77,12105,9515
VND,instância_original.knapsack.txt,2025-10-02 16:19:31,0.19663,25,77,12105,9515
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:32:53,0.00062,24,75,12165,9477
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:28:23,0.00064,30,80,12180,9476
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 10:06:46,0.00184,24,79,12158,9447
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:27:39,0.00065,31,81,12178,9440
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 10:06:24,0.00154,32,81,12136,9419
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 16:09:28,0.00062,24,79,12139,9410
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-10-02 15:57:42,0.00063,30,82,12133,9329
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-10-02 16:09:54,0.00066,30,81,12178,9305
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-10-02 16:10:18,0.00063,31,80,12161,9304
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:26:38,0.00064,26,79,12126,9264
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:32:29,0.00063,25,77,12173,9254
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:27:15,0.00062,24,79,12124,9244
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:27:39,0.00061,22,77,12098,9208
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:32:33,0.00062,23,79,12161,9192
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:28:54,0.00065,31,80,12146,9159
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 15:57:42,0.00060,23,79,12169,9154
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:29:00,0.00062,24,77,12177,9150
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:32:37,0.00093,22,76,12149,9136
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 16:11:45,0.00061,23,76,12174,9122
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:32:48,0.00063,26,74,12176,9118
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-10-02 16:12:18,0.00062,29,82,12113,9071
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 16:10:06,0.00061,24,78,12168,9065
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:28:50,0.00062,25,77,12175,9059
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-10-02 15:57:23,0.00063,30,81,12168,9046
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:32:44,0.00063,24,78,12166,9043
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:27:05,0.00061,22,78,12165,9034
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:32:48,0.00064,30,81,12116,9002
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:28:23,0.00066,23,78,12139,8987
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 10:06:04,0.00120,22,75,12180,8983
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 16:19:31,0.00062,22,78,12154,8957
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 15:46:48,0.00096,24,76,12169,8934
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 10:06:14,0.00138,23,74,12173,8877
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:29:09,0.00062,24,77,12163,8851
RANDOM,instância_original.knapsack.txt,2025-09-21 01:26:27,0.00105,28,79,12160,8839
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:32:44,0.00064,29,81,12160,8804
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:31:34,0.00086,27,80,12160,8773
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-10-02 15:59:00,0.00061,28,81,12070,8746
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:26:47,0.00064,29,81,12148,8730
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:27:15,0.00064,29,80,12175,8680
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:26:27,0.00083,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:26:38,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:26:42,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:26:47,0.00067,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:27:05,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:27:15,0.00065,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:27:28,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:27:39,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:27:46,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:28:04,0.00068,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:28:12,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:28:23,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:28:31,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:28:39,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:28:45,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:28:50,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:28:54,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:29:00,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:29:05,0.00071,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:29:09,0.00066,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:29:16,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:31:34,0.00086,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:31:43,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:31:50,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:32:25,0.00063,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:32:29,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:32:33,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:32:37,0.00064,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:32:40,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:32:44,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:32:48,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:32:53,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:32:58,0.00063,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 01:33:03,0.00062,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:04:24,0.00141,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:05:06,0.00138,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:05:20,0.00142,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:06:04,0.00131,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:06:08,0.00137,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:06:14,0.00153,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:06:18,0.00142,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:06:24,0.00137,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:06:33,0.00155,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:06:40,0.00109,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:06:46,0.00138,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-09-21 10:06:53,0.00118,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 15:46:42,0.00061,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 15:46:48,0.00095,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 15:46:52,0.00061,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 15:57:05,0.00061,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 15:57:23,0.00060,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 15:57:42,0.00060,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 15:58:40,0.00067,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 15:59:00,0.00061,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:09:28,0.00061,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:09:43,0.00061,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:09:54,0.00064,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:10:06,0.00060,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:10:18,0.00060,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:10:28,0.00060,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:11:32,0.00064,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:11:45,0.00060,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:12:03,0.00079,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:12:18,0.00079,29,81,12171,8668
GREEDY -> Package: Size,instância_original.knapsack.txt,2025-10-02 16:19:31,0.00062,29,81,12171,8668
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 10:05:20,0.00138,28,79,12121,8641
RANDOM,instância_original.knapsack.txt,2025-10-02 16:09:43,0.00072,27,79,12178,8608
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 01:26:47,0.00061,21,76,12146,8587
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 10:05:06,0.00134,20,75,12171,8585
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-10-02 16:09:43,0.00062,29,79,12172,8575
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:29:09,0.00063,28,81,12173,8553
RANDOM,instância_original.knapsack.txt,2025-10-02 16:11:32,0.00075,26,79,12158,8550
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:26:38,0.00063,27,79,12176,8534
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 10:06:18,0.00144,22,74,12151,8454
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-10-02 15:59:00,0.00066,20,74,12097,8427
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:32:58,0.00068,27,79,12125,8404
RANDOM_GREEDY (Package: Benefit),instância_original.knapsack.txt,2025-09-21 10:06:24,0.00173,21,78,12169,8368
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-09-21 01:27:28,0.00063,28,82,12154,8367
RANDOM_GREEDY (Package: Size),instância_original.knapsack.txt,2025-10-02 16:10:06,0.00061,28,80,12173,8321
